docid,word_count,pos_count,neg_count,ISBN,Copyright,Committee member,University location,Source,Department,Degree date,Title,Document type,Degree,Dissertation/thesis number,Author,Advisor,Country of publication,Number of pages,Language,Database,School code,Publication year,Identifier / keyword,Document URL,Place of publication,Classification,University/institution,Source type,Subject
1511453215,470,31,1,9781303751332,Copyright ProQuest UMI Dissertations Publishing 2014,Meier Scott T.;Darrow Sherri L.;Pope Raechele L.,United States -- New York,DAI-B 75/06(E) Dec 2014,Counseling School and Educational Psychology,2014,Where do allies come from? An evaluation of a university Safe Zone program,Dissertation/Thesis,Ph.D.,3613035,Mack John Peaslee,Reynolds Amy L.;Reynolds Amy L.,United States,173,English,ProQuest Dissertations & Theses Full Text,0656,2014,Social sciences;Psychology;Education;Ally;Higher education;LGBT;Program evaluation;Safe space;Safe zone;Social sciences;Psychology;Education;Ally;Higher education;LGBT;Program evaluation;Safe space;Safe zone,http://search.proquest.com/docview/1511453215?accountid=13314,Ann Arbor,0492: GLBT Studies;0603: Counseling Psychology;0745: Higher education,State University of New York at Buffalo,Dissertations & Theses,GLBT Studies;Counseling Psychology;Higher education
1504840233,0,0,0,9781303732799,Copyright ProQuest UMI Dissertations Publishing 2014,Schober Michael;Kinsbourne Marcel,United States -- New York,DAI-B 75/06(E) Dec 2014,Psychology,2014,Is there a relationship between children's cognitive styles and their preference for a phonetic vs. whole word strategy when learning how to read?,Dissertation/Thesis,Ph.D.,3612074,Daria Irene,Miller Joan;Miller Joan,United States,40,English,ProQuest Dissertations & Theses Full Text,1700,2014,Psychology;Beginning reading;Cognitive styles;Field independence dependence;Global analytical learning styles;Phonics;Whole word;Psychology;Beginning reading;Cognitive styles;Field independence dependence;Global analytical learning styles;Phonics;Whole word,http://search.proquest.com/docview/1504840233?accountid=13314,Ann Arbor,0620: Developmental psychology;0621: Psychology;0633: Cognitive psychology,The New School,Dissertations & Theses,Developmental psychology;Psychology;Cognitive psychology
1464387828,317,31,3,9781303497148,Copyright ProQuest UMI Dissertations Publishing 2014,Niesluchowski Pamela;Fernandez Merari,United States -- Illinois,DAI-A 75/02(E) Aug 2014,Clinical Psychology,2014,Healing In Love and Light: A Culturally Syntonic Trauma Sensitive Yoga Program,Dissertation/Thesis,Psy.D.,3599910,Young Shena J.,DeLoach Chante' D.;DeLoach Chante' D.,United States,252,English,ProQuest Dissertations & Theses Full Text,0971,2014,Social sciences;Health and environmental sciences;African American women;Body inclusive therapy;Sexual assault;Trauma;Yoga;Rape;Social sciences;Health and environmental sciences;African American women;Body inclusive therapy;Sexual assault;Trauma;Yoga;Rape,http://search.proquest.com/docview/1464387828?accountid=13314,Ann Arbor,0296: African American Studies;0453: Womens studies;0575: Kinesiology,The Chicago School of Professional Psychology,Dissertations & Theses,African American Studies;Womens studies;Kinesiology
1462600848,0,0,0,9781303555824,Copyright ProQuest UMI Dissertations Publishing 2014,,United States -- Virginia,MAI 52/03(E) Jun 2014,,2014,A Holistic Approach to Social Ministry: Serving the Least Last and Lost By Feeding the Mind Body and Spirit,Dissertation/Thesis,M.Div.,1524505,Madison Laura V.,Harris Antipas;Harris Antipas,United States,67,English,ProQuest Dissertations & Theses Full Text,1058,2014,Philosophy religion and theology;Wesley John;Philosophy religion and theology;Wesley John,http://search.proquest.com/docview/1462600848?accountid=13314,Ann Arbor,0321: Biblical studies;0376: Divinity;0394: Ethics,Regent University,Dissertations & Theses,Biblical studies;Divinity;Ethics
1513234288,475,42,2,9781303786273,Copyright ProQuest UMI Dissertations Publishing 2014,Wood Marcy;Jurich Donna,United States -- Arizona,DAI-A 75/07(E) Jan 2015,Teaching & Teacher Education,2014,From preface to practice: A narrative study of women learning to teach mathematics,Dissertation/Thesis,Ph.D.,3614026,Stoehr Kathleen Jablon,Carter Kathy;Turner Erin;Carter Kathy;Turner Erin,United States,223,English,ProQuest Dissertations & Theses Full Text,0009,2014,Education;Gender;Mathematics anxiety;Narratives;Preservice teachers;Education;Gender;Mathematics anxiety;Narratives;Preservice teachers,http://search.proquest.com/docview/1513234288?accountid=13314,Ann Arbor,0280: Mathematics education;0524: Elementary education;0530: Teacher education,The University of Arizona,Dissertations & Theses,Mathematics education;Elementary education;Teacher education
1513601155,217,19,1,9781303791260,Copyright ProQuest UMI Dissertations Publishing 2014,Brown Bryant Jean;Koman Elizabeth,United States -- Minnesota,DAI-B 75/07(E) Jan 2015,Harold Abel School of Social and Behavioral Sciences,2014,Lived experience of law enforcement personnel in the application of deadly force after surviving an armed encounter: A phenomenological inquiry,Dissertation/Thesis,Ph.D.,3614146,Arriola Karl E.,Myers Susan;Myers Susan,United States,158,English,ProQuest Dissertations & Theses Full Text,1351,2014,Psychology;Armed encounters;Deadly force;Lived experience;Phenomenology;Police shootings;Street survival;Psychology;Armed encounters;Deadly force;Lived experience;Phenomenology;Police shootings;Street survival,http://search.proquest.com/docview/1513601155?accountid=13314,Ann Arbor,0451: Social psychology;0621: Psychology;0632: Quantitative psychology,Capella University,Dissertations & Theses,Social psychology;Psychology;Quantitative psychology
1496770823,431,25,5,9781303672590,Copyright ProQuest UMI Dissertations Publishing 2014,Hamilton Charlotte,United States -- Minnesota,DAI-B 75/05(E) Nov 2014,Harold Abel School of Social and Behavioral Sciences,2014,The outcomes for African American Christian women raised without their biological father: A phenomenological study,Dissertation/Thesis,Ph.D.,3608820,Harris Tia M.,Farrel Dorothy;Farrel Dorothy,United States,141,English,ProQuest Dissertations & Theses Full Text,1351,2014,Social sciences;Psychology;Absentee fathers;African American women;Christian women;Fatherlessness;Social sciences;Psychology;Absentee fathers;African American women;Christian women;Fatherlessness,http://search.proquest.com/docview/1496770823?accountid=13314,Ann Arbor,0344: Social research;0603: Counseling Psychology,Capella University,Dissertations & Theses,Social research;Counseling Psychology
1447244362,285,38,1,9781303433009,Copyright ProQuest UMI Dissertations Publishing 2013,Gerend Mary;Prevatt Frances;Ebener Deborah,United States -- Florida,DAI-B 75/01(E) Jul 2014,Educational Psychology and Learning Systems,2013,Development and testing of an enhanced homework procedure for a weight loss management group intervention,Dissertation/Thesis,Ph.D.,3596515,Herman Katharine G.,Lampropoulos Georgios K.;Lampropoulos Georgios K.,United States,196,English,ProQuest Dissertations & Theses Full Text,0071,2013,Psychology;Weight loss;Cognitive behavioral therapy;Diabetes prevention program;Homework;Physical activity;Pre-diabetes;Weight management;Psychology;Weight loss;Cognitive behavioral therapy;Diabetes prevention program;Homework;Physical activity;Pre-diabetes;Weight management,http://search.proquest.com/docview/1447244362?accountid=13314,Ann Arbor,0384: Behavioral psychology;0603: Counseling Psychology,The Florida State University,Dissertations & Theses,Behavioral psychology;Counseling Psychology
1496772949,396,39,2,9781303657030,Copyright ProQuest UMI Dissertations Publishing 2014,Pebley Anne;Wang May C.;Ortiz Vilma,United States -- California,DAI-B 75/04(E) Oct 2014,Public Health 0789,2014,Does living in latino neighborhoods affect risk for obesity? Findings from a study of social capital and park availability in Los Angeles neighborhoods,Dissertation/Thesis,Ph.D.,3607955,Garcia Jennifer,Gee Gilbert;Gee Gilbert,United States,142,English,ProQuest Dissertations & Theses Full Text,0031,2014,Health and environmental sciences;Health disparities;Latino/hispanic;Neighborhoods;Obesity;Health and environmental sciences;Health disparities;Latino/hispanic;Neighborhoods;Obesity,http://search.proquest.com/docview/1496772949?accountid=13314,Ann Arbor,0573: Public health,University of California Los Angeles,Dissertations & Theses,Public health
1500435570,157,18,0,9780494958681,Copyright ProQuest UMI Dissertations Publishing 2014,Cho Christine;English Rebecca;McCabe Michael,Canada,MAI 52/04(E) Aug 2014,Schulich School of Education/Graduate Studies in Education,2014,The correlation between externally imposed curriculum and the willed curriculum with the severity of learning disabilities: A personal narrative,Dissertation/Thesis,M.Ed.,MR95868,Butler Shannon Elizabeth,Ricci Carlo;Ricci Carlo,United States,106,English,ProQuest Dissertations & Theses Full Text,0445,2014,Education;Curriculum;External;Learning disabilities;Willed;Education;Curriculum;External;Learning disabilities;Willed,http://search.proquest.com/docview/1500435570?accountid=13314,Ann Arbor,0529: Special education;0727: Curriculum development,Nipissing University (Canada),Dissertations & Theses,Special education;Curriculum development
