docid,word_count,pos_count,neg_count,ISBN,Copyright,Committee member,University location,Source,Department,Degree date,Title,Document type,Degree,Dissertation/thesis number,Author,Advisor,Country of publication,Number of pages,Language,Database,School code,Publication year,Identifier / keyword,Document URL,Place of publication,Classification,University/institution,Source type,Subject
763135652,1559,110,8,9781124302867,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Early Mars environments revealed through near-infrared spectroscopy of alteration minerals,Dissertation/Thesis,Ph.D.,3430181,Ehlmann Bethany List,Mustard John F.;Mustard John F.,United States,326,English,ProQuest Dissertations & Theses Full Text,0024,2010,Earth sciences;Mars;Alteration minerals;Hydrothermal alteration;Phyllosilicates;Earth sciences;Mars;Alteration minerals;Hydrothermal alteration;Phyllosilicates,http://search.proquest.com/docview/763135652?accountid=13314,Ann Arbor,0590: Planetology;0799: Remote sensing,Brown University,Dissertations & Theses,Planetology;Remote sensing
1225607957,265,34,1,9781267752444,Copyright ProQuest UMI Dissertations Publishing 2012,Hartov Alexander;Ji Songbai;Roberts David W.;Simon David,United States -- New Hampshire,DAI-B 74/03(E) Sep 2013,Engineering,2012,Later Stage Brain Deformation Compensation In Image-Guided Neurosurgery,Dissertation/Thesis,Ph.D.,3544493,Fan Xiaoyao,Paulsen Keith D.;Paulsen Keith D.,United States,186,English,ProQuest Dissertations & Theses Full Text,0059,2012,Biological sciences;Applied sciences;Health and environmental sciences;Brain deformation;Computational modeling;Image-guided neurosurgery;Resection;Retraction;Biological sciences;Applied sciences;Health and environmental sciences;Brain deformation;Computational modeling;Image-guided neurosurgery;Resection;Retraction,http://search.proquest.com/docview/1225607957?accountid=13314,Ann Arbor,0317: Neurosciences;0541: Biomedical engineering;0574: Medical imaging,Dartmouth College,Dissertations & Theses,Neurosciences;Biomedical engineering;Medical imaging
894213168,419,33,6,9781124925554,Copyright ProQuest UMI Dissertations Publishing 2011,,United States -- Rhode Island,DAI-A 72/12 Jun 2012,,2011,Contesting the Russian Borderlands: The German Military Administration of Occupied Lithuania 1915--1918,Dissertation/Thesis,Ph.D.,3479701,Barthel Christopher Alan,Bartov Omer;Bartov Omer,United States,345,English,ProQuest Dissertations & Theses Full Text,0024,2011,Social sciences;World War I;Eastern Front;Lithuania;Germany;Imperialism;Occupation;Military administration;Social sciences;World War I;Eastern Front;Lithuania;Germany;Imperialism;Occupation;Military administration,http://search.proquest.com/docview/894213168?accountid=13314,Ann Arbor,0335: European history;0582: Modern history,Brown University,Dissertations & Theses,European history;Modern history
1499247835,507,31,6,9781303717192,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- Connecticut,DAI-B 75/05(E) Nov 2014,,2013,Dictionary Learning: Algorithms and Analysis,Dissertation/Thesis,Ph.D.,3578468,Wang Huan,Spielman Daniel A.;Spielman Daniel A.,United States,180,English,ProQuest Dissertations & Theses Full Text,0265,2013,Applied sciences;Dictionary learning;Sparse coding;Topic modeling;Matrix factorization;Exact recovery;Basis learning;Applied sciences;Dictionary learning;Sparse coding;Topic modeling;Matrix factorization;Exact recovery;Basis learning,http://search.proquest.com/docview/1499247835?accountid=13314,Ann Arbor,0984: Computer science,Yale University,Dissertations & Theses,Computer science
1417766496,332,36,6,9781303187254,Copyright ProQuest UMI Dissertations Publishing 2013,Regehr Wade G.;Cohen Adam E.;Boas David A.,United States -- Massachusetts,DAI-B 74/10(E) Apr 2014,Biophysics,2013,Development and application of two-photon excitation stimulated emission depletion microscopy for superresolution fluorescence imaging in thick tissue,Dissertation/Thesis,Ph.D.,3567089,Takasaki Kevin T.,Sabatini Bernardo L.;Sabatini Bernardo L.,United States,91,English,ProQuest Dissertations & Theses Full Text,0084,2013,Pure sciences;Biological sciences;Microscopy;Superresolution;Synapses;Fluorescence imaging;Pure sciences;Biological sciences;Microscopy;Superresolution;Synapses;Fluorescence imaging,http://search.proquest.com/docview/1417766496?accountid=13314,Ann Arbor,0317: Neurosciences;0752: Optics;0786: Biophysics,Harvard University,Dissertations & Theses,Neurosciences;Optics;Biophysics
1401805423,131,7,3,9781303127458,Copyright ProQuest UMI Dissertations Publishing 2013,Savage Barbara D.;Jackson John L.;Reed Adolph L.,United States -- Pennsylvania,DAI-A 74/09(E) Mar 2014,Africana Studies,2013,Black sophists: A critique of demagoguery,Dissertation/Thesis,Ph.D.,3564119,Bertholf Garry J.,Ramsey Guthrie P. Jr.;Ramsey Guthrie P. Jr.,United States,208,English,ProQuest Dissertations & Theses Full Text,0175,2013,Social sciences;West Cornel;Demagoguery;Farrakhan Louis;Dyson Michael Eric;State of the Black Union;Smiley Tavis;Social sciences;West Cornel;Demagoguery;Farrakhan Louis;Dyson Michael Eric;State of the Black Union;Smiley Tavis,http://search.proquest.com/docview/1401805423?accountid=13314,Ann Arbor,0296: African American Studies;0325: Black studies;0337: American history;0615: Political science,University of Pennsylvania,Dissertations & Theses,African American Studies;Black studies;American history;Political science
1506548396,154,11,0,9781303749490,Copyright ProQuest UMI Dissertations Publishing 2014,,United States -- New York,DAI-B 75/06(E) Dec 2014,,2014,Development of point-of-care devices for rapid diagnostics and preventive care,Dissertation/Thesis,Ph.D.,3579135,Oncescu Vlad-Victor,Erickson David;Erickson David,United States,173,English,ProQuest Dissertations & Theses Full Text,0058,2014,Applied sciences;Implantable devices;Preventive care;Hemorrhagic shock;Biomarker detection;Applied sciences;Implantable devices;Preventive care;Hemorrhagic shock;Biomarker detection,http://search.proquest.com/docview/1506548396?accountid=13314,Ann Arbor,0541: Biomedical engineering;0548: Mechanical engineering,Cornell University,Dissertations & Theses,Biomedical engineering;Mechanical engineering
1282606324,0,0,0,9781267846297,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- New York,DAI-B 74/05(E) Nov 2013,Physics,2013,Searching for Reactor Antineutrino Flavor Oscillations with the Double Chooz Far Detector,Dissertation/Thesis,Ph.D.,3548825,Franke Arthur James,Shaevitz Michael H.;Shaevitz Michael H.,United States,332,English,ProQuest Dissertations & Theses Full Text,0054,2013,Pure sciences;Antineutrinos;Flavor oscillations;Double Chooz Far Detector;Pure sciences;Antineutrinos;Flavor oscillations;Double Chooz Far Detector,http://search.proquest.com/docview/1282606324?accountid=13314,Ann Arbor,0798: Particle physics,Columbia University,Dissertations & Theses,Particle physics
763150091,248,24,0,9781124302904,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Stability and instability in the Stefan problem with surface tension,Dissertation/Thesis,Ph.D.,3430185,Hadzic Mahir,Guo Yan;Guo Yan,United States,198,English,ProQuest Dissertations & Theses Full Text,0024,2010,Applied sciences;Stefan problem;Surface tension;Free boundaries;Applied sciences;Stefan problem;Surface tension;Free boundaries,http://search.proquest.com/docview/763150091?accountid=13314,Ann Arbor,0364: Applied Mathematics,Brown University,Dissertations & Theses,Applied Mathematics
1443536382,770,65,10,9781303397059,Copyright ProQuest UMI Dissertations Publishing 2013,Collins Randall;Smith Adam;Steinhardt Nancy S.;Goldin Paul R.,United States -- Pennsylvania,DAI-A 75/01(E) Jul 2014,East Asian Languages and Civilizations,2013,In pursuit of the Great Peace: Han dynasty classicism and the making of early Medieval literati culture,Dissertation/Thesis,Ph.D.,3594882,Zhao Lu,Goldin Paul R.;Goldin Paul R.,United States,351,English,ProQuest Dissertations & Theses Full Text,0175,2013,Language literature and linguistics;Social sciences;Early Medieval China;Scripture of the Great Peace;Han Empire;Apocrypha;Great Peace;Han classicism;Intellectual innovations;Literati communities;Manuscript culture;Language literature and linguistics;Social sciences;Early Medieval China;Scripture of the Great Peace;Han Empire;Apocrypha;Great Peace;Han classicism;Intellectual innovations;Literati communities;Manuscript culture,http://search.proquest.com/docview/1443536382?accountid=13314,Ann Arbor,0305: Asian literature;0332: History;0342: Asian Studies;0581: Medieval history,University of Pennsylvania,Dissertations & Theses,Asian literature;History;Asian Studies;Medieval history
